# doc_id=5-SPC-CS6-R2 Carbon Steel Pipe discipline=5 revision=R2
l,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0
,Client Name,,,,,,,,,,,,,,,,,,,,Specification,,,,,,,,,,,,,,,,,,,,Aker Kvaerner,,,,,,,,,,,,,,,,,,,
,Project Title,,,,,,,,,,,,,,,,,,,,Carbon Steel Pipe,,,,,,,,,,,,,,,,,,,,Chemetics,,,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Division of Aker Kvaerner Canada Inc.,,,,,,,,,,,,,,,,,,,
,Client Document Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Standard-5-SPC-CS6-R2,,,,,,,,,,,,,,,,,,,
,Rev:,,Date:,,,,,Status:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prepared By:,,,,,,,Checked By:,,,,,,,Approved By:,,,,,,
,2.0,,39224.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A. Farah,,,,,,,T. Wacker,,,,,,,D. Shaw,,,,,,
,1.0,,37805.0,,,,,Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,0.0,,37748.0,,,,,Comments Requested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D. Mah,,,,,,,G. Schwab,,,,,,,T. Ueki,,,,,,
,SERVICE LIMITS,,,,,,Temp.:,,,,°C,,,-29 to 204,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,CORROSION ALLOWANCE,,,,,,,,,,1.5mm,,
,,,,,,,Press.:,,,,kPag,,,1034.0,,,,,,,,FV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"PIPE SIZE
(mm)",,,,,,Nominal (DN),,,,,,15,,20.0,,25.0,,32.0,,40.0,,50.0,,80.0,,100.0,,150.0,,200.0,,250.0,,300.0,,350.0,,400.0,,450.0,,500.0,,600.0,,750.0,,,,,,,,,,,,,
,,,,,,,Wall Thickness,,,,,,Schedule 80,,,,,,,,,,,,Schedule 40,,,,,,,,,,Standard Weight,,,,,,,,,,,,,,,,,,,,,,,,,
,PIPE,,,,,,Type,,,,,,ASME B36.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 53 Gr. B Type E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,API 5L Gr. B (Note 5),,,,,,,,,,,,,
,FITTINGS,,,,,,Type,,,,,,Socket Weld,,,,,,,,,,,,Butt Weld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rating,,,,,,"ASME B16.11, Class 3000",,,,,,,,,,,,"ASME B16.9, Schedule 40",,,,,,,,,,"ASME B16.9, Standard Weight",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 105,,,,,,,,,,,,ASTM A 234 Gr. WPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FLANGES,,,,,,Type/Rating,,,,,,RFSW/ASME B16.5 Class 150,,,,,,,,,,,,RFSO/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,RFWN/ASME B16.47 Series A Class 150,,,,,,,,,,,,,
,,,,,,,Blind,,,,,,RF/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RF/ASME B16.47 Series A Class 150,,,,,,,,,,,,,
,,,,,,,Spec. Break,,,,,,RFSW/ASME B16.5 Class 300,,,,,,,,,,,,RFSO/ASME B16.5 Class 300,,,,,,,,,,,,,,,,,,,,,,RFWN/ASME B16.47 Series A Class 300,,,,,,,,,,,,,
,,,,,,,Material,,,,,,ASTM A 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GASKETS,,,,,,Style,,,,,,"IBC, See 5-SPC-0003: Gaskets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FASTENERS,,,,,,Type,,,,,,See 5-SPC-0002: Bolting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
