# doc_id=0-REP-5 table=5 inline=true
,Sources of supply of major materials:,Sources of supply of major materials:,,
,Shop load for next six months:,Shop load for next six months:,,
,Shipping facilities and restrictions:,Shipping facilities and restrictions:,,
,Building Bay & Crane Data:,Building Bay & Crane Data:,,
,Bay Dimensions:,Bay Dimensions:,,
,Type of Crane:,Type of Crane:,,
,No. of Cranes:,No. of Cranes:,,
,Capacity:,Capacity:,,
,Sizes and weights of vessels that can be completely shop fabricated:,Sizes and weights of vessels that can be completely shop fabricated:,,
,Plate thickness (max),,Dia. (max),
,Length (max),,Weight (max),
,Proportion of Stainless Steel to Carbon Steel,Proportion of Stainless Steel to Carbon Steel,,
