# doc_id=5-SPC-SD4-R2 Stainless Steel Duct discipline=5 revision=R2
,IN-LINE ITEMS,,,,,,Type/Rating,,,,,,Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,Butt Weld/Custom Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HP & LP,,,,,,Type/Rating,,,,,,Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INST. CONN.,,,,,,Type/Rating,,,,,,Flanged/ASME B16.5 Class 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.0,"Sizes to 20"" are nominal (NPS); custom design sizes larger than 20"" NPS are inch OD exact.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,Refer to 5-SPC-0010: Metal Duct Fabrication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.0,"For design temperature below 1000 °F, Gr. TP304 may be used in lieu of Gr. TP304H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.0,"For design temperature below 1000 °F, Gr. 304 may be used in lieu of Gr. 304H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5.0,"For design temperature below 1000 °F, Gr. WP304 may be used in lieu of Gr. WP304H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6.0,"For design temperature above 1000 °F, Class 300 flanges in Gr. F304H must be used.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7.0,"When used in vacuum service, ducting will be custom-designed with stiffening rings, as required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
