# doc_id=0-LST-6001 discipline=0 revision=R2
col_0,col_1,Item,Record,Action,By,Comments
,,Procurement / Logistics,,,,
,X,Maximum shipping envelope / restrictions,,,,
,X,Maximum shipping weight / restrictions,,,,
,X,Nearest port / distance,,,,
,X,Off-loading capacity at nearest port,,,,
,X,Off-loading capacity at site,,,,
,X,Consolidation points,,,,
,X,Lead time for ocean shipment,,,,
,X,Lead time for customs clearance,,,,
,X,Long lead delivery items,,,,
,X,Complex delivery items,,,,
,X,Warehousing / duration,,,,
,X,Open crate inspection requirement / when / whom,,,,
,,Identify potential items for low cost sourcing and plan lead time,,,,
,,Identify large / heavy shipments and plan for lift from truck into place where possible,,,,
,,Plot Plan / Arrangements,,,,
,X,Permanent roads / timing / access to site,,,,
,X,"Minimum width of permanent roads / one-way, two-way",,,,
,X,Minimum clearance for permanent roads,,,,
,X,Minimum width of walkways,,,,
,X,Minimum clearance of walkways,,,,
,,Access for installation / removal of major equipment,,,,
,,Access for maintenance of major equipment,,,,
,X,Location of piping tie-ins (above / below grade),,,,
,X,Location of electrical supply tie-ins (above / below grade),,,,
,X,Location of sewer / effluent tie-ins,,,,
,X,Access for first fill chemicals deliveries,,,,
,X,Access for raw materials deliveries,,,,
,X,Access for products loading,,,,
,X,Extent of concrete / bitumen paving,,,,
,X,Extent of gravel / hardstand,,,,
,,Platforms / freestanding / off equipment,,,,
,,Secondary egress requirements,,,,
,,Fire hydrant locations,,,,
,,Construction,,,,
,,Review construction methodology / alternatives / shop vs. field fabrication,,,,
,,Review proposed subcontracts / scope,,,,
,,Review expected weather conditions / mitigation strategy,,,,
,,Review if concerns with groundwater,,,,
,,Review existence of below ground piping / foundations,,,,
,,Evaluate noise restriction due to proximity to housing,,,,
,,Construction roads / access to site,,,,
,X,Access for site preparation during construction,,,,
,X,Access for concrete delivery during construction,,,,
,X,Access for equipment & materials during construction,,,,
,X,Access for construction equipment,,,,
,X,Access for construction personnel,,,,
,,Location of lay down areas close to work,,,,
,,Location of construction trailers close to work,,,,
,,Define warehousing requirements,,,,
,,Define storage requirements for sensitive items i.e. sealed instrument packages,,,,
,,Location of construction utility tie-ins,,,,
,,Location of sewer tie-in / disposal of hydrotest water,,,,
,,Location of parking,,,,
,,Location of fixed cranes / capacity,,,,
,,Review rigging requirements,,,,
,,Use of permanent lifting equipment / power,,,,
,,"Install stairs, platforms for construction access",,,,
,,"Pre-assemble stairs, platforms at grade where possible",,,,
,,Minimize temporary bracing,,,,
,,Site Preparation,,,,
,,Bulk excavation for multiple footings / common u/s foundation elevation,,,,
,,Minimize depth of excavation,,,,
,,Use sheet piling for excavations,,,,
,,"Type of soil, geo-technical report recommendations",,,,
,,Maximum bearing pressure / piling requirements,,,,
,,Type of piling,,,,
,,Ripping vs. blasting rock,,,,
,,Extent of contaminated soil / remediation,,,,
,,Transport distance of excavated soil / rock,,,,
,,Use excavated soil for backfill,,,,
,,Civil Design,,,,
,,Use raft slab vs. multiple footings,,,,
,,Standardize details,,,,
,,Ring beam / footings / raft slab for tanks,,,,
,,Minimize slab jointing / saw cuts,,,,
,,Ensure below grade piping / electrical early,,,,
,,Standardize form work,,,,
,,Pre-cast foundations / sumps,,,,
,,Concrete type / strength / shrinkage / controlled curing,,,,
,,Optimize reinforcement  / depth of cover,,,,
,,Optimize joints / water stop,,,,
,,Standardize anchor bolt detail / size,,,,
,,Consider detail for adjusting anchor bolts,,,,
,,Use rock anchors for overturning,,,,
,,Use chemical anchors for small items,,,,
,,Determine pad type for plastic tanks,,,,
,,Minimize depth of pits / confined spaces,,,,
,,Pre-cast pits,,,,
,,Pre-cast concrete or pre-fabricated trenches,,,,
,,Optimize concrete coatings,,,,
,,Sequence civil works for construction access,,,,
,,Minimize elevated slabs / pre-cast,,,,
,,Use sacrificial form work for suspended slabs,,,,
,,Consider concrete pump access,,,,
,,Structural Steel Design,,,,
,,Use locally available materials / sizes,,,,
,,Standardize connection details,,,,
,,Minimize bolted joints / use welded frames,,,,
,,Consider access to joints for installation,,,,
,,Standardize bolt sizes,,,,
,,Standardize surface treatment,,,,
,,Consider galvanized vs. painted,,,,
,,Optimize shop fabrication,,,,
,,Optimize modular construction,,,,
,,Vessels,,,,
,,Consider standard vessel sizes,,,,
,,Hydro test off-site,,,,
,,Consider installing internals off-site,,,,
,,Consider above grade access required / platforms,,,,
,,Consider valves / manways at grade,,,,
,,Consider conical vs. dished roof,,,,
,,"Pre-assemble platforms, ladders",,,,
,,Consider pre-insulating,,,,
,,"Consider pre-installing piping, instruments, lighting",,,,
,,Pre-assemble field erected vessels,,,,
,,Pre-paint platework,,,,
,,Pre-line tanks,,,,
,,Review grouting requirements,,,,
,,Equipment,,,,
,,Review standardization of common items,,,,
,,"Pre-assemble on base plates, skids in shop",,,,
,,"Pre-install instruments, piping, electrical, insulation",,,,
,,Optimise site testing,,,,
,,Review scope of packaged equipment,,,,
,,Piping,,,,
,,Maximise pre-fabricated spools,,,,
