# doc_id=9-LST-0709 discipline=9 revision=R0
Items to be checked:,
Check for correct location.,
Check for proper fastening to floor (cinch anchors).,
Check for proper assembly of switchgear including all bus ties installed and torqued.  Mark each torqued joint.,
"Check if switchgear is completely wired according to manufacturer’s and Chemetics’ drawings:
incoming feeder(s): correct cable size, terminations and connectors
outgoing feeders: correct cable size, terminations and connectors
all control cables: correct cable sizes, terminations and connectors",
"Check all protection devices mounted, wired and adjusted.",
Check complete switchgear for missing cover plates.,
Check grounding connections.,
Check if switchgear is cleaned out and free of foreign matter.,
Touch-up paint scratches etc.,
Dust and vermin proofing.,
